fixation_id,fixation_run_id,fixation_start_event_time,fixation_order_number,x,y,fixation_target,source_file_line,source_file_col,token,syntactic_category,xpath,left_pupil_diameter,right_pupil_diameter,duration
f9830212-c779-4c85-9846-7020e91ed539,1684254652119,133262355608261833,1,709.211,147.895,Bug-19.txt,29,28,,,,3.4096,3.50072,587
c9317ef3-2770-4a4c-8c8b-7e671b7f07e4,1684254652119,133262355598032068,2,671.267,350.5,Bug-19.txt,43,26,,,,3.56965,3.67566,551
8f95690e-d6ba-401b-b606-665e2ab28767,1684254652119,133262355592874594,3,723.667,275.533,Bug-19.txt,38,33,,,,3.45814,3.58016,200
73697c50-4dcb-4ff5-81c2-9208270212a0,1684254652119,133262355575209256,4,681.414,294.138,DefaultBoxAndWhiskerCategoryDataset.java,162,26,,,,3.58007,3.73142,259
82cd84f7-a57c-491a-8bdd-9b86eabfb808,1684254652119,133262355558958091,5,630.72,135.357,DefaultBoxAndWhiskerCategoryDataset.java,151,18,,,,3.4651,3.5592,1576
2e57a4dd-0ec7-45d1-84cb-076603e6f98f,1684254652119,133262355548038169,6,649.415,234.366,DefaultBoxAndWhiskerCategoryDataset.java,158,21,,,,3.4194,3.48482,376
ae2217e7-803e-4e88-a462-d8960299945f,1684254652119,133262355529456587,7,659.778,212.913,DefaultBoxAndWhiskerCategoryDataset.java,163,23,,,,3.49366,3.54483,1768
a1215467-53ae-4ff5-b2ce-d45b79252650,1684254652119,133262355508460471,8,715.189,136.432,DefaultBoxAndWhiskerCategoryDatasetTest.java,60,30,,,,3.27355,3.37226,365
767f3fab-1d23-4d6d-a575-78e3e22c780c,1684254652119,133262355406710393,9,806.961,486.765,DefaultBoxAndWhiskerCategoryDataset.java,175,43,,,,3.47965,3.51103,416
93440f33-7f42-45c1-b394-b6b7f8b06aef,1684254652119,133262355404787831,10,645.286,510.333,DefaultBoxAndWhiskerCategoryDataset.java,176,20,,,,3.53249,3.54989,167
378114a3-7c08-4642-8127-eb0bc09a0ebe,1684254652119,133262355403045142,11,684.4,468,DefaultBoxAndWhiskerCategoryDataset.java,174,26,,,,3.5467,3.56605,133
35519b21-9eee-4ef4-9260-3b35153e9c87,1684254652119,133262355400043106,12,630.963,430.926,DefaultBoxAndWhiskerCategoryDataset.java,171,18,,,,3.50101,3.56827,216
d4aefcec-5ab5-4744-b774-4bc9bc78b87c,1684254652119,133262355395039418,13,635.255,113.418,DefaultBoxAndWhiskerCategoryDataset.java,150,19,,,,3.43392,3.5296,459
8ab15045-19a2-40c8-b76b-39fcd94d0dec,1684254652119,133262355387045580,14,697.647,177.824,DefaultBoxAndWhiskerCategoryDataset.java,154,27,,,,3.32044,3.35304,776
b8cd901d-ac11-4c9c-985e-101961757150,1684254652119,133262355344959914,15,638,410.457,DefaultBoxAndWhiskerCategoryDataset.java,170,19,,,,3.28557,3.38786,417
3fd736b1-dbc7-4c37-8280-c17d1eb50638,1684254652119,133262355317959192,16,599.158,233.57,DefaultBoxAndWhiskerCategoryDataset.java,150,13,,,,3.3773,3.43001,2467
b713722a-f7a5-49bc-999d-66f52e0cbe69,1684254652119,133262355311873406,17,592.042,365.458,DefaultBoxAndWhiskerCategoryDataset.java,154,13,,,,3.31372,3.44294,542
ad076513-7f06-460b-ab8d-fc04f549160d,1684254652119,133262355303125565,18,616.132,208.474,DefaultBoxAndWhiskerCategoryDataset.java,151,16,,,,3.22857,3.30159,859
5523beb4-576c-494d-baf0-f9b2ab0ae4df,1684254652119,133262355301293508,19,608.333,238.889,DefaultBoxAndWhiskerCategoryDataset.java,161,15,,,,3.33578,3.45527,159
20a1a173-8c9f-46f4-be45-8dc89af08728,1684254652119,133262355289292541,20,613.765,599.245,DefaultBoxAndWhiskerCategoryDataset.java,185,15,,,,3.44725,3.54946,1158
